related_products,descriptions,product group 
.NET,".NET is a free, cross-platform, open-source developer platform for building many types of applications using C#, F#, or Visual Basic.",Developer Tools
 Azure,"Azure is Microsoft’s cloud computing platform providing a wide range of services including computing, analytics, storage, and networking.",Azure
 Azure AI Bot Service,"Azure AI Bot Service is a cloud-based platform for developing, testing, and deploying intelligent, enterprise-grade bots.",Azure AI
 Azure AI Custom Vision,"Azure AI Custom Vision is a service that lets you build, deploy, and improve image classifiers tailored to your own visual recognition needs.",Azure AI
 Azure AI Document Intelligence,"Azure AI Document Intelligence is an AI-powered service for extracting text, tables, and structure from documents using machine learning.",Azure AI
 Azure AI Foundry,"Azure AI Foundry is a platform that helps operationalize AI at scale through unified tooling for model development, deployment, and governance.",Azure AI
 Azure AI Model Catalog,"Azure AI Model Catalog is a repository of prebuilt and custom AI models for easy discovery, reuse, and deployment within Azure.",Azure AI
 Azure AI Search,Azure AI Search is a cloud search service that provides indexing and querying capabilities with built-in AI for text and image content.,Azure AI
 Azure AI Services,"Azure AI Services is a collection of pre-trained APIs that provide vision, speech, language, and decision AI capabilities.",Azure AI
 Azure AI Translator,Azure AI Translator is a neural machine translation service that supports real-time translation in multiple languages.,Azure AI
 Azure AI Vision,"Azure AI Vision is a suite of computer vision tools that analyze visual content for object detection, text extraction, and image classification.",Azure AI
 Azure AI and Machine Learning,"Azure AI and Machine Learning is a comprehensive suite of services for building, training, and deploying machine learning models.",Azure AI
 Azure API Management,Azure API Management is a platform for creating consistent and modern API gateways for backend services.,Azure Integration
 Azure Analysis Services,Azure Analysis Services is an enterprise-grade analytics engine that enables data modeling and analysis with high performance.,Azure Analytics
 Azure App Service,"Azure App Service is a fully managed platform for building, deploying, and scaling web apps and APIs quickly.",Azure App Platform
 Azure Application Gateway,Azure Application Gateway is a web traffic load balancer that enables you to manage traffic to your web applications.,Azure Networking
 Azure Arc,"Azure Arc is a set of technologies that extends Azure management and services to any infrastructure, including on-premises and multicloud.",Azure Hybrid
 Azure Automation,"Azure Automation is a service for automating frequent, time-consuming, and error-prone cloud management tasks.",Azure Management
 Azure Backup,Azure Backup is a scalable solution that protects your data in the Microsoft cloud and provides backup and recovery services.,Azure Backup
 Azure Bastion,Azure Bastion is a fully managed PaaS service providing secure and seamless RDP and SSH connectivity to virtual machines.,Azure Networking
 Azure Batch,Azure Batch is a service for running large-scale parallel and high-performance computing (HPC) applications efficiently in the cloud.,Azure Compute
 Azure Blob Storage,Azure Blob Storage is a massively scalable object storage for unstructured data such as text and binary data.,Azure Storage
 Azure Cache for Redis,Azure Cache for Redis is a fully managed in-memory data store based on the popular open-source Redis software.,Azure Cache
